time,femur_w,femur_x,femur_y,femur_z,femur_acc_x,femur_acc_y,femur_acc_z,tibia_w,tibia_x,tibia_y,tibia_z,tibia_acc_x,tibia_acc_y,tibia_acc_z,gf,mg,gt,mt
2337,0.9982,-0.0337,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.60,9.42,-0.52,-0.22,9.54,3,0,3,0
2406,0.9982,-0.0337,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.63,9.42,-0.52,-0.22,9.59,3,0,3,0
2473,0.9982,-0.0337,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.92,-0.59,9.40,-0.52,-0.21,9.53,3,0,3,0
2539,0.9982,-0.0337,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.58,9.43,-0.53,-0.23,9.56,3,0,3,0
2607,0.9982,-0.0337,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.58,9.41,-0.52,-0.24,9.57,3,0,3,0
2674,0.9982,-0.0337,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.92,-0.60,9.44,-0.52,-0.22,9.60,3,0,3,0
2740,0.9982,-0.0337,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.61,9.40,-0.54,-0.22,9.56,3,0,3,0
2807,0.9982,-0.0336,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.94,-0.58,9.45,-0.52,-0.23,9.58,3,0,3,0
2875,0.9982,-0.0336,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.61,9.42,-0.50,-0.23,9.54,3,0,3,0
2940,0.9982,-0.0336,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.60,9.44,-0.53,-0.23,9.57,3,0,3,0
3008,0.9982,-0.0336,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.60,9.41,-0.54,-0.21,9.56,3,0,3,0
3077,0.9982,-0.0336,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.92,-0.61,9.42,-0.49,-0.22,9.55,3,0,3,0
3142,0.9982,-0.0334,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.92,-0.62,9.41,-0.54,-0.22,9.56,3,0,3,0
3210,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.60,9.43,-0.54,-0.22,9.56,3,0,3,0
3277,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.60,9.41,-0.54,-0.21,9.55,3,0,3,0
3344,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.62,9.43,-0.52,-0.23,9.56,3,0,3,0
3411,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.62,9.43,-0.54,-0.22,9.58,3,0,3,0
3479,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.94,-0.62,9.39,-0.55,-0.21,9.54,3,0,3,0
3546,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.62,9.44,-0.56,-0.22,9.56,3,0,3,0
3614,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.94,-0.62,9.41,-0.52,-0.22,9.59,3,0,3,0
3681,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.92,-0.60,9.39,-0.52,-0.22,9.56,3,0,3,0
3747,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.60,9.40,-0.53,-0.22,9.54,3,0,3,0
3816,0.9982,-0.0335,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.92,-0.63,9.46,-0.52,-0.23,9.60,3,0,3,0
3884,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.56,9.42,-0.52,-0.20,9.53,3,0,3,0
3951,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.62,9.48,-0.52,-0.24,9.58,3,0,3,0
4019,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.91,-0.61,9.42,-0.52,-0.22,9.56,3,0,3,0
4087,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.57,9.44,-0.52,-0.20,9.57,3,0,3,0
4155,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.94,-0.62,9.46,-0.55,-0.23,9.60,3,0,3,0
4221,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.94,-0.59,9.38,-0.53,-0.21,9.51,3,0,3,0
4289,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.61,9.46,-0.53,-0.22,9.61,3,0,3,0
4357,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.95,-0.59,9.43,-0.54,-0.21,9.55,3,0,3,0
4425,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.58,9.42,-0.52,-0.21,9.59,3,0,3,0
4491,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0121,0.0281,0.0006,-0.93,-0.59,9.40,-0.54,-0.21,9.57,3,0,3,0
4557,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0114,0.0284,0.0006,-0.95,-0.59,9.42,-0.55,-0.13,9.54,3,0,3,0
4625,0.9982,-0.0333,0.0506,0.0000,0.9995,-0.0097,0.0287,0.0012,-0.91,-0.61,9.43,-0.55,-0.13,9.55,3,0,3,0
