Frame,time,X_rot,Y_rot,Z_rot,W_rot,X_bod,Y_bod,Z_bod,X_mkr1,Y_mkr1,Z_mkr1,X_mkr2,Y_mkr2,Z_mkr2,X_mk3,Y_mkr3,Z_mkr3,X_mkr4,Y_mkr4,Z_mkr4
0,0.000000,-0.000646,0.920993,-0.369492,-0.123480,-184.638458,-451.968719,-1180.632568,-86.412857,42.763561,-665.805237,-12.665551,57.564983,-624.870972,42.405323,47.453438,-657.796204,-26.201010,18.668140,-757.955261
1,0.008333,-0.001364,0.921152,-0.369029,-0.123675,-184.549088,-451.560028,-1181.044312,-86.619179,42.651257,-665.434875,-12.641432,57.585350,-624.912903,42.406693,47.453907,-657.796021,-26.172464,18.759171,-758.033264
2,0.016667,0.000077,0.921084,-0.369368,-0.123175,-184.628204,-451.704742,-1180.911133,-86.378647,42.857212,-665.940308,-12.684746,57.545036,-624.851440,42.334553,47.402107,-657.682983,-26.144163,18.671021,-757.998108
3,0.025000,-0.000489,0.921219,-0.368999,-0.123266,-184.495499,-451.367828,-1181.259766,-86.475914,42.774555,-665.718506,-12.686883,57.573524,-624.857300,42.301792,47.443233,-657.676086,-26.160902,18.774920,-758.063782
4,0.033333,-0.000471,0.921015,-0.369438,-0.123475,-184.766479,-451.846558,-1180.666382,-86.466034,42.776699,-665.737061,-12.640446,57.601578,-624.893250,42.301086,47.438656,-657.727478,-26.243147,18.690573,-757.895569
5,0.041667,-0.001764,0.921161,-0.369012,-0.123651,-184.312759,-451.606445,-1181.067627,-86.676056,42.622116,-665.323730,-12.644665,57.596386,-624.914490,42.383797,47.504086,-657.796936,-26.145107,18.766638,-758.078125
6,0.050000,-0.001248,0.921145,-0.369031,-0.123717,-184.768997,-451.590393,-1180.877563,-86.667625,42.603817,-665.335876,-12.727283,57.531513,-624.806030,42.287369,47.383900,-657.640198,-26.303226,18.712111,-757.853699
7,0.058333,-0.001486,0.921142,-0.369127,-0.123453,-184.239807,-451.756744,-1180.926025,-86.661522,42.593235,-665.338684,-12.716219,57.531612,-624.804321,42.313259,47.441635,-657.686584,-26.179729,18.685276,-757.959473
8,0.066667,-0.001760,0.920980,-0.369372,-0.123925,-184.741898,-452.060059,-1180.420776,-86.745186,42.542213,-665.193237,-12.647217,57.560371,-624.911682,42.293743,47.429691,-657.675293,-26.315678,18.652136,-757.820679
9,0.075000,-0.001197,0.921108,-0.369099,-0.123795,-184.863739,-451.643341,-1180.844849,-86.656647,42.615639,-665.366150,-12.641980,57.567883,-624.919983,42.286701,47.376766,-657.695740,-26.269781,18.711464,-757.931030
10,0.083333,0.000269,0.921199,-0.369090,-0.123146,-184.778381,-451.374817,-1181.178101,-86.348991,42.832615,-665.956299,-12.720268,57.511471,-624.816467,42.199089,47.359680,-657.591858,-26.237642,18.719191,-757.965088
11,0.091667,-0.001107,0.921133,-0.369102,-0.123600,-184.638809,-451.629547,-1180.953979,-86.614166,42.625004,-665.431458,-12.677023,57.544933,-624.861511,42.304733,47.431629,-657.733826,-26.248438,18.705135,-757.965149
12,0.100000,-0.000040,0.921019,-0.369459,-0.123385,-184.866241,-451.831299,-1180.690308,-86.371895,42.787663,-665.883606,-12.657503,57.560345,-624.885193,42.307823,47.382423,-657.661316,-26.247076,18.660059,-757.895691
13,0.108333,-0.001984,0.921143,-0.369030,-0.123731,-184.349152,-451.766205,-1180.906860,-86.881935,42.443306,-664.914734,-12.685266,57.560310,-624.830017,42.328018,47.389969,-657.680298,-26.129492,18.662186,-758.059204
14,0.116667,-0.000432,0.921234,-0.368981,-0.123213,-184.469910,-451.409821,-1181.250854,-86.436172,42.756382,-665.761780,-12.766475,57.472672,-624.709229,42.309303,47.384663,-657.661926,-26.170729,18.701466,-758.014099
15,0.125000,0.000063,0.921097,-0.369338,-0.123164,-184.606873,-451.643250,-1180.955200,-86.334984,42.850739,-665.970581,-12.632528,57.581440,-624.918579,42.313725,47.441162,-657.734985,-26.168198,18.734701,-757.959656
16,0.133333,-0.000796,0.921224,-0.368927,-0.123444,-184.629715,-451.376862,-1181.159058,-86.599548,42.662331,-665.454834,-12.704591,57.542809,-624.815491,42.234715,47.384930,-657.622375,-26.242771,18.755226,-757.936401
17,0.141667,-0.000014,0.921070,-0.369336,-0.123374,-184.893127,-451.701294,-1180.808594,-86.497978,42.762215,-665.672363,-12.632430,57.610695,-624.908997,42.220226,47.327393,-657.584290,-26.195486,18.677389,-757.989197
18,0.150000,-0.000342,0.920873,-0.369746,-0.123614,-184.986435,-452.148285,-1180.300415,-86.432930,42.811783,-665.813599,-12.659785,57.573620,-624.873169,42.383232,47.501987,-657.795166,-26.299891,18.663525,-757.845886
19,0.158333,-0.000299,0.921004,-0.369436,-0.123567,-184.997818,-451.835266,-1180.605957,-86.504959,42.754551,-665.671509,-12.696197,57.554955,-624.841492,42.312840,47.392159,-657.666199,-26.282852,18.684177,-757.882568
20,0.166667,-0.000936,0.921165,-0.369084,-0.123412,-184.509476,-451.612000,-1180.999390,-86.647675,42.638092,-665.394958,-12.680450,57.564514,-624.858826,42.201164,47.368824,-657.594055,-26.191895,18.693632,-757.993835
21,0.175000,-0.000068,0.921251,-0.368899,-0.123329,-184.887253,-451.230316,-1181.227661,-86.523552,42.759281,-665.651917,-12.735229,57.515926,-624.783386,42.209747,47.318611,-657.578674,-26.252556,18.745098,-757.913147
22,0.183333,0.000248,0.921029,-0.369438,-0.123375,-185.018402,-451.748322,-1180.728882,-86.389671,42.817215,-665.894348,-12.644523,57.569595,-624.915833,42.289906,47.375000,-657.647461,-26.245577,18.663374,-757.934937
23,0.191667,-0.000015,0.921142,-0.369191,-0.123271,-184.796387,-451.526337,-1180.989136,-86.426849,42.779518,-665.842468,-12.697065,57.542831,-624.849426,42.225479,47.374672,-657.624817,-26.267567,18.724920,-757.894958
24,0.200000,0.001201,0.921107,-0.369355,-0.123036,-185.091324,-451.473785,-1180.970825,-86.198456,42.951214,-666.251343,-12.644355,57.572731,-624.921570,42.214382,47.313442,-657.587219,-26.251022,18.717541,-757.911072
25,0.208333,-0.001779,0.921000,-0.369357,-0.123822,-184.566605,-452.058929,-1180.535400,-86.758377,42.543091,-665.177612,-12.637970,57.570950,-624.922119,42.303738,47.432693,-657.681458,-26.231739,18.637648,-757.957214
