Specimen properties : Length,120,mm,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Stress-Strain,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Linear,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Modulus,Unnamed: 35,Failure,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Cross Section Average,39.572,mm2,,,,,,,,,,Polynomial Coefficients,,,,,,,,,,,,,,,,Force,,Stress,Extension,Strain,,Secant,Tangent,Load,Stress,Extension,Strain,Stiffness
Time,Extension,Load,Total cycle count,,,Extension,Load,Strain,Stress,E-tan,,X6,-111588986.0617861,,,,,,,,,Strain,Stress,E-tan,,,,(N),,(MPa),(mm),(%),,(MPa),(MPa),(N),(MPa),(mm),(%),(N/mm)
(s),(mm),(N),,,,(mm),(N),(mm/mm),(MPa),(MPa),,X5,22113848.313626762,,,,,,,,,(mm/mm),(MPa),(MPa),,,,238.7695380221256,,6.033800111748852,7.5600000000000005,6.3,,95.77460494839448,148.53581646803335,326.72421,8.25644925705044,9.73381,8.111508333333333,31.58327222514889
0,0.18666,1.10723,0,,,9.79602,1.25755,0,0.03177878297786313,,,X4,-1616628.3691608307,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
0.1,0.19658,1.13412,0,,,10.27588,2.88489,0.003998833333333337,0.0729023046598605,24.306178191444346,,X3,43015.941260530155,,,,,,,,,0.001,0.008812521480301877,8.812521480301879,,,,,,,,,,,,,,,,
0.2,0.21329,1.15489,0,,,11.18855,12.00258,0.011604416666666657,0.3033099161022945,42.4348871746244,,X2,1336.9791171502163,,,,,,,,,0.002,0.02053512054223139,11.722599061929513,,,,,,,,,,,,,,,,
0.3,0.23018,1.21633,0,,,12.02909,27.52024,0.018608916666666662,0.6954472859597696,74.31873184036594,,X1,7.434121048000963,,,,,,,,,0.003,0.035370951031256495,14.835830489025108,,,,,,,,,,,,,,,,
0.4,0.24667,1.26125,0,,,12.86305,53.05429,0.025558583333333326,1.3407027696350955,94.72047666258706,,,,,,,,,,,,0.004,0.05348950095676232,18.118549925505825,,,,,,,,,,,,,,,,
0.5,0.26339,1.35335,0,,,13.6965,79.60299,0.032504,2.011598857778227,101.81782129262614,,,,,,,,,,,,0.005,0.07502904529367385,21.539544336911533,,,,,,,,,,,,,,,,
0.6,0.2801,1.47246,0,,,14.52979,109.01705,0.039448083333333335,2.75490371980188,119.71205913176613,,,,,,,,,,,,0.006,0.10009901844000871,25.069973146334853,,,,,,,,,,,,,,,,
0.7,0.29682,1.58003,0,,,15.36324,145.40074,0.04639349999999999,3.674333872435055,135.36161680724746,,,,,,,,,,,,0.007,0.12878230633035997,28.683287890351263,,,,,,,,,,,,,,,,
0.8,0.31337,1.526,0,,,16.19658,183.41884,0.053338,4.635066208430203,139.0918799956869,,,,,,,,,,,,0.008,0.16113745820530898,32.355151874948994,,,,,,,,,,,,,,,,
0.9,0.33008,1.69188,0,,,17.0298,221.8423,0.06028150000000001,5.60604215101587,148.36648992773075,,,,,,,,,,,,0.009,0.19720081803676814,36.063359831459195,,,,,,,,,,,,,,,,
1,0.3468,1.78481,0,,,17.86315,264.95786,0.06722608333333334,6.695589305569594,140.43542050126354,,,,,,,,,,,,0.01,0.23698857560925402,39.78775757248583,,,,,,,,,,,,,,,,
1.1,0.3634,1.78739,0,,,18.69649,299.02823,0.07417058333333333,7.556560952188415,112.38101745848124,,,,,,,,,,,,0.011,0.28049873725708996,43.51016164783597,,,,,,,,,,,,,,,,
1.2,0.38001,1.87073,0,,,19.52983,326.72421,0.08111508333333334,8.25644925705044,49.65522362687001,,,,,,,,,,,,0.012,0.32771301625753946,47.21427900044945,,,,,,,,,,,,,,,,
