Specimen properties : Length,30,mm,Unnamed: 3,Start here,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Stress-Strain,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Linear,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Modulus,Unnamed: 35,Failure,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Cross Section Average,48.4585,mm2,,,,,,,,,,Polynomial Coefficients,,,,,,,,,,,,,,,,Force,,Stress,Extension,Strain,,Secant,Tangent,Load,Stress,Extension,Strain,Stiffness
Time,Extension,Load,Total cycle count,,,Extension,Load,Strain,Stress,E-tan,,X6,,,,,,,,,,Strain,Stress,E-tan,,,,(N),,(MPa),(mm),(%),,(MPa),(MPa),(N),(MPa),(mm),(%),(N/mm)
(s),(mm),(N),,,,(mm),(N),(mm/mm),(MPa),(MPa),,X5,,,,,,,,,,(mm/mm),(MPa),(MPa),,,,777.074474709825,,16.03587553700228,4.11,13.700000000000001,,117.05018640147648,167.36312540644235,1554.16492,32.05435805895766,8.09999,26.99996666666667,189.06921525786493
0,0.04873,1.18947,0,,,0.31558,0.85881,0,0,,,X4,605.3211620805027,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
0.1,0.0629,1.44253,0,,,0.8351,13.80381,0.017317333333333334,0.26713579660946996,62.8301456260532,,X3,-2952.322588149219,,,,,,,,,0.001,0.015577757528903627,15.577757528903627,,,,,,,,,,,,,,,,
0.2,0.08018,1.87974,0,,,1.74131,138.95749,0.04752433333333333,2.849833981654405,106.64793793971307,,X2,1142.09651048676,,,,,,,,,0.002,0.03342200261774815,17.844245088844524,,,,,,,,,,,,,,,,
0.3,0.09673,2.39255,0,,,2.58139,315.42282,0.07552699999999998,6.491410382079511,139.57378132335117,,X1,14.438612735683854,,,,,,,,,0.003,0.05351504312256651,20.09304050481836,,,,,,,,,,,,,,,,
0.4,0.11356,2.85851,0,,,3.41536,516.40558,0.103326,10.638933726797157,157.0660118083583,,,,,,,,,,,,0.004,0.07583920142709952,22.324158304533007,,,,,,,,,,,,,,,,
0.5,0.13005,3.41818,0,,,4.24875,738.4447,0.13110566666666668,15.220980632912699,160.56591044173192,,,,,,,,,,,,0.005,0.10037681444279592,24.5376130156964,,,,,,,,,,,,,,,,
0.6,0.14677,3.92149,0,,,5.08209,948.68762,0.15888366666666667,19.559598625628116,151.454759395833,,,,,,,,,,,,0.006,0.12711023360881232,26.7334191660164,,,,,,,,,,,,,,,,
0.7,0.16348,4.52879,0,,,5.91538,1146.17285,0.18666,23.63494619107071,147.36678430553647,,,,,,,,,,,,0.007,0.15602182489201322,28.91159128320089,,,,,,,,,,,,,,,,
0.8,0.18014,5.08182,0,,,6.74877,1345.42261,0.2144396666666667,27.74670697607231,134.60721253904472,,,,,,,,,,,,0.008,0.18709396878697096,31.07214389495774,,,,,,,,,,,,,,,,
0.9,0.19686,5.68652,0,,,7.58217,1508.58105,0.24221966666666667,31.113679540225142,77.53151697057864,,,,,,,,,,,,0.009,0.22030906031596587,33.215091528994925,,,,,,,,,,,,,,,,
1,0.21346,6.29412,0,,,8.41557,1554.16492,0.2699996666666667,32.05435805895766,,,,,,,,,,,,,0.01,0.25564950902898614,35.340448713020244,,,,,,,,,,,,,,,,
1.1,0.23035,6.90313,0,,,9.25004,355.02225,,,,,,,,,,,,,,,0.011,0.29309773900372776,37.44822997474164,,,,,,,,,,,,,,,,
1.2,0.24678,7.53596,0,,,10.08259,13.29977,,,,,,,,,,,,,,,0.012,0.33263618884559476,39.53844984186696,,,,,,,,,,,,,,,,
1.3,0.26356,8.23501,0,,,10.13257,-1.27769,,,,,,,,,,,,,,,0.013,0.37424731168769887,41.61112284210414,,,,,,,,,,,,,,,,
1.4,0.28022,8.86135,0,,,,,,,,,,,,,,,,,,,0.014,0.41791357519086,43.66626350316106,,,,,,,,,,,,,,,,
1.5,0.29688,9.62357,0,,,,,,,,,,,,,,,,,,,0.015,0.4636174615436055,45.70388635274556,,,,,,,,,,,,,,,,
1.6,0.31342,10.38402,0,,,,,,,,,,,,,,,,,,,0.016,0.5113414674621711,47.72400591856558,,,,,,,,,,,,,,,,
1.7,0.3302,11.05331,0,,,,,,,,,,,,,,,,,,,0.017,0.5610681041905002,49.72663672832906,,,,,,,,,,,,,,,,
1.8,0.34691,11.8633,0,,,,,,,,,,,,,,,,,,,0.018,0.6127798975002439,51.711793309743754,,,,,,,,,,,,,,,,
1.9,0.3634,12.70866,0,,,,,,,,,,,,,,,,,,,0.019,0.6664593876907616,53.67949019051771,,,,,,,,,,,,,,,,
2,0.38018,13.45885,0,,,,,,,,,,,,,,,,,,,0.02,0.7220891295891203,55.629741898358624,,,,,,,,,,,,,,,,
2.1,0.39695,14.3487,0,,,,,,,,,,,,,,,,,,,0.021,0.7796516925500947,57.56256296097433,,,,,,,,,,,,,,,,
2.2,0.4135,15.11691,0,,,,,,,,,,,,,,,,,,,0.022,0.8391296604561681,59.47796790607355,,,,,,,,,,,,,,,,
2.3,0.43004,16.0168,0,,,,,,,,,,,,,,,,,,,0.023,0.9005056317175308,61.375971261362686,,,,,,,,,,,,,,,,
2.4,0.44699,16.92546,0,,,,,,,,,,,,,,,,,,,0.024,0.9637622192720819,63.25658755455104,,,,,,,,,,,,,,,,
2.5,0.46353,17.53156,0,,,,,,,,,,,,,,,,,,,0.025,1.0288820505854277,65.11983131334568,,,,,,,,,,,,,,,,
2.6,0.48019,17.93985,0,,,,,,,,,,,,,,,,,,,0.026,1.0958477676508822,66.96571706545468,,,,,,,,,,,,,,,,
2.7,0.4968,18.93898,0,,,,,,,,,,,,,,,,,,,0.027,1.1646420269894682,68.79425933858589,,,,,,,,,,,,,,,,
2.8,0.51368,19.97573,0,,,,,,,,,,,,,,,,,,,0.028,1.235247499649916,70.60547266044784,,,,,,,,,,,,,,,,
2.9,0.53012,20.88333,0,,,,,,,,,,,,,,,,,,,0.029,1.307646871208663,72.39937155874692,,,,,,,,,,,,,,,,
3,0.54672,21.9822,0,,,,,,,,,,,,,,,,,,,0.03,1.3818228417698561,74.17597056119327,,,,,,,,,,,,,,,,
3.1,0.56361,22.96359,0,,,,,,,,,,,,,,,,,,,0.031,1.4577581259653483,75.93528419549205,,,,,,,,,,,,,,,,
3.2,0.58021,23.97268,0,,,,,,,,,,,,,,,,,,,0.032,1.5354354529547019,77.6773269893535,,,,,,,,,,,,,,,,
3.3,0.59681,25.09197,0,,,,,,,,,,,,,,,,,,,0.033,1.6148375664251862,79.40211347048422,,,,,,,,,,,,,,,,
3.4,0.61347,26.26254,0,,,,,,,,,,,,,,,,,,,0.034,1.6959472245917788,81.10965816659258,,,,,,,,,,,,,,,,
3.5,0.6303,27.40547,0,,,,,,,,,,,,,,,,,,,0.035,1.7787472001971654,82.79997560538646,,,,,,,,,,,,,,,,
3.6,0.64679,28.60872,0,,,,,,,,,,,,,,,,,,,0.036,1.8632202805117386,84.47308031457375,,,,,,,,,,,,,,,,
3.7,0.66351,29.91816,0,,,,,,,,,,,,,,,,,,,0.037,1.9493492673336004,86.12898682186169,,,,,,,,,,,,,,,,
3.8,0.68023,31.17369,0,,,,,,,,,,,,,,,,,,,0.038,2.03711697698856,87.76770965495953,,,,,,,,,,,,,,,,
3.9,0.69683,32.43982,0,,,,,,,,,,,,,,,,,,,0.039,2.1265062403301336,89.38926334157351,,,,,,,,,,,,,,,,
4,0.71343,33.88008,0,,,,,,,,,,,,,,,,,,,0.04,2.2174999027395463,90.99366240941266,,,,,,,,,,,,,,,,
4.1,0.73021,35.31152,0,,,,,,,,,,,,,,,,,,,0.041,2.3100808241257313,92.58092138618493,,,,,,,,,,,,,,,,
4.2,0.74692,36.69028,0,,,,,,,,,,,,,,,,,,,0.042,2.4042318789253283,94.15105479959686,,,,,,,,,,,,,,,,
4.3,0.76347,38.11308,0,,,,,,,,,,,,,,,,,,,0.043,2.4999359561026866,95.70407717735887,,,,,,,,,,,,,,,,
4.4,0.78013,39.6102,0,,,,,,,,,,,,,,,,,,,0.044,2.5971759591498635,97.24000304717686,,,,,,,,,,,,,,,,
4.422,0.78381,40.0044,0.5,,,,,,,,,,,,,,,,,,,0.045,2.6959348060866217,98.75884693675808,,,,,,,,,,,,,,,,
4.424,0.78415,40.03459,0.5,,,,,,,,,,,,,,,,,,,0.046,2.796195429460433,100.26062337381116,,,,,,,,,,,,,,,,
4.524,0.77174,39.18755,0.5,,,,,,,,,,,,,,,,,,,0.047,2.8979407763464797,101.74534688604665,,,,,,,,,,,,,,,,
4.624,0.75112,35.74298,0.5,,,,,,,,,,,,,,,,,,,0.048,3.0011538083476488,103.21303200116894,,,,,,,,,,,,,,,,
4.724,0.734,33.36139,0.5,,,,,,,,,,,,,,,,,,,0.049,3.1058175015945353,104.66369324688641,,,,,,,,,,,,,,,,
4.824,0.71717,31.27273,0.5,,,,,,,,,,,,,,,,,,,0.05,3.2119148467454446,106.09734515090919,,,,,,,,,,,,,,,,
4.924,0.70068,29.20281,0.5,,,,,,,,,,,,,,,,,,,0.051,3.3194288489863855,107.51400224094152,,,,,,,,,,,,,,,,
5.024,0.68391,27.42777,0.5,,,,,,,,,,,,,,,,,,,0.052,3.42834252803108,108.9136790446944,,,,,,,,,,,,,,,,
5.124,0.66719,25.76412,0.5,,,,,,,,,,,,,,,,,,,0.053,3.538638918120956,110.2963900898758,,,,,,,,,,,,,,,,
5.224,0.65059,24.10069,0.5,,,,,,,,,,,,,,,,,,,0.054,3.6503010680251475,111.66214990419154,,,,,,,,,,,,,,,,
5.324,0.63399,22.50903,0.5,,,,,,,,,,,,,,,,,,,0.055,3.7633120410404977,113.01097301535002,,,,,,,,,,,,,,,,
5.424,0.61721,21.06195,0.5,,,,,,,,,,,,,,,,,,,0.056,3.8776549149915587,114.34287395106091,,,,,,,,,,,,,,,,
5.524,0.6005,19.70919,0.5,,,,,,,,,,,,,,,,,,,0.057,3.993312782230588,115.65786723902904,,,,,,,,,,,,,,,,
5.624,0.58395,18.38299,0.5,,,,,,,,,,,,,,,,,,,0.058,4.110268749637553,116.95596740696546,,,,,,,,,,,,,,,,
5.724,0.56729,17.16939,0.5,,,,,,,,,,,,,,,,,,,0.059,4.228505938620129,118.23718898257667,,,,,,,,,,,,,,,,
5.824,0.55046,16.00524,0.5,,,,,,,,,,,,,,,,,,,0.06,4.348007485113699,119.50154649356992,,,,,,,,,,,,,,,,
5.924,0.53391,14.98291,0.5,,,,,,,,,,,,,,,,,,,0.061,4.468756539581353,120.74905446765338,,,,,,,,,,,,,,,,
6.024,0.51725,14.05921,0.5,,,,,,,,,,,,,,,,,,,0.062,4.59073626701389,121.9797274325368,,,,,,,,,,,,,,,,
