Specimen properties : Length,47,mm,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Stress-Strain,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Linear,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Modulus,Unnamed: 35,Failure,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
Cross Section Average,45.1475,mm2,,,,,,,,,,Polynomial Coefficients,,,,,,,,,,,,,,,,Force,,Stress,Extension,Strain,,Secant,Tangent,Load,Stress,Extension,Strain,Stiffness
Time,Extension,Load,Total cycle count,,,Extension,Load,Strain,Stress,E-tan,,X6,-10621056.335733714,,,,,,,,,Strain,Stress,E-tan,,,,(N),,(MPa),(mm),(%),,(MPa),(MPa),(N),(MPa),(mm),(%),(N/mm)
(s),(mm),(N),,,,(mm),(N),(mm/mm),(MPa),(MPa),,X5,4238780.632532292,,,,,,,,,(mm/mm),(MPa),(MPa),,,,274.3878188263688,,6.077586108341963,5.593,11.899999999999999,,51.072152170940875,88.91947958247562,341.77228,7.547325765546266,6.43325,13.68776595744681,49.059148726330925
0,0.08069,1.18867,0,,,0.60186,1.02939,0,0,,,X4,-634143.8661349736,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
0.1,0.09344,1.15929,0,,,1.1203,5.09915,0.011030638297872344,0.09014364029016002,16.784994821310296,,X3,42526.762072468024,,,,,,,,,0.001,0.013655728714108143,13.655728714108143,,,,,,,,,,,,,,,,
0.2,0.11067,1.41011,0,,,2.02765,23.30302,0.030335957446808514,0.49335245583919374,28.955202278849075,,X2,-785.5360000475722,,,,,,,,,0.002,0.025986794491343546,12.331065777235404,,,,,,,,,,,,,,,,
0.3,0.12733,1.56599,0,,,2.86779,53.8864,0.04821127659574468,1.1707627221883825,45.770683194695195,,X1,14.399367867789806,,,,,,,,,0.003,0.03722615880668461,11.239364315341064,,,,,,,,,,,,,,,,
0.4,0.1441,1.80721,0,,,3.70181,96.92571,0.0659563829787234,2.1240671133506837,59.73027674942985,,,,,,,,,,,,0.004,0.04759256442082643,10.366405614141824,,,,,,,,,,,,,,,,
0.5,0.16065,1.98558,0,,,4.53515,149.55418,0.08368702127659575,3.289767761227089,69.9845240284417,,,,,,,,,,,,0.005,0.05729102491595529,9.69846049512885,,,,,,,,,,,,,,,,
0.6,0.17731,2.13151,0,,,5.36843,208.96614,0.1014163829787234,4.60572013954261,77.76316694073695,,,,,,,,,,,,0.006,0.06651330658436258,9.222281668407293,,,,,,,,,,,,,,,,
