k,alpha,l_0,f_ref
33.327700851554795,0.06068300111905749,92.88759714829435,10.739741844834693
33.00400553451824,0.05888724312366131,92.93219227512472,10.655693411670017
32.58596029039459,0.05579606829182452,93.00092613410202,10.585955952357486
32.74815257056851,0.05576910581289703,93.04001281068442,10.358314710212948
32.90126981726241,0.05664461324932331,93.04203963520143,9.733350569187794
33.23073980816112,0.05815448943345844,92.99061598504323,10.241646658532897
33.00638430664284,0.05768047372664155,92.99556656736564,10.271079987429484
32.7829232689299,0.056466888363884665,93.00312480664489,10.380975869046315
33.09981431470885,0.06034638363016059,92.86107157160093,10.742264631063955
33.1946082381319,0.05864523091485614,92.96211811682046,10.25019906677156
33.099859177755654,0.05937665758530306,92.89403947780755,10.615005772941828
33.522198238835124,0.06090382208643429,92.88530045142174,10.988584671561204
33.16569649209586,0.0571597559837115,93.02628480478265,10.18808989496314
33.15342324544909,0.05851110320806995,92.95385329113789,10.567658456865395
32.881026369395194,0.056301677219483336,93.0155002902533,10.76530539822637
33.31796140062326,0.060948073303508245,92.86207869915953,10.707891737404244
33.016154873150825,0.05734772442638668,92.98772551637444,10.505154158986278
33.38924246364345,0.059159988558261656,92.94530211292017,10.703210957352454
32.90027843096329,0.05858310912179142,92.8944805198188,11.222147019328112
32.895892814518106,0.057005946159553296,92.97804188826058,10.615476862399873
33.025405891370454,0.05835229506670832,92.9601489518448,10.621995443392294
33.1869928305192,0.05869632551435238,92.97085445325627,10.162363217886748
33.522987858818986,0.05998907595738254,92.95160304269453,10.327815912900183
33.107210986881384,0.058359059591197325,92.964329250731,10.36830980067994
32.82611800295053,0.056515030074629186,93.00989247323417,10.158141049180388
33.24668730684217,0.06119269288495874,92.86163247890784,10.729903885982937
32.80915075682976,0.057989034438285146,92.91409576521997,11.205359192227242
33.18266984670851,0.060978808020674374,92.84227877794552,11.01696523875973
33.10493661947186,0.057971573674729236,92.97938314787042,10.232547591328107
32.98719460877328,0.05783974662313517,92.9712872964494,10.421565113131097
32.974828804923774,0.058612667795979366,92.92487997532822,10.73810745381913
32.575653486857426,0.05681635290851943,92.96505397600413,10.321451332500946
32.82749709461016,0.05726905391147109,92.97469609468864,10.316785063998863
32.86106855587504,0.05736986891872176,92.9584457407422,10.988882474759764
32.96528658726878,0.05805900269946283,92.93700434576958,10.920777741036177
33.31354159775221,0.057543298502738545,93.00397219190866,10.75892400086942
32.820592373631484,0.058358580398931055,92.93059245905123,10.378860112391441
33.0796968373307,0.058734403208970276,92.94988645163775,10.15958863347371
32.99794898490134,0.05886940848465066,92.92048150957892,10.673446812568454
33.06453071580391,0.058569631443965,92.94162413418032,10.654131823616671
33.03310770224557,0.058225253961281705,92.95721556976615,10.523781935018347
33.124745055286155,0.05926927297337173,92.92947543254222,10.364824923809202
33.217604864148534,0.061946417521940016,92.80107809140846,11.3081243216908
33.44249364781899,0.05887439441561146,92.95695038169558,10.954065481506024
32.95763379334655,0.0579802039862478,92.94764055097508,10.721302000913914
33.10855198477017,0.059710552956006656,92.89068319818293,10.591195773165133
33.185728964410046,0.05925417262004937,92.92178062088271,10.720853366874431
33.45025337514431,0.05984284011965838,92.91994290746524,10.710398985442314
33.03761729715158,0.0592054916247164,92.93419298280875,10.294141431924682
33.086658852391444,0.05668688902866639,93.04747637997538,9.823419094497195
32.91159107879287,0.055518312740078936,93.0498681067692,10.646968877689543
32.85714841748954,0.05942569676457292,92.91004304446561,10.304040700335742
32.75089385967191,0.057337215184961945,92.96113026156448,10.578767475849629
33.56993454655419,0.05922776838273296,92.95585309854408,10.687413765061107
33.40537851749534,0.0598293637824448,92.93318839012622,10.661213253650791
32.99871653029109,0.05707944457622534,93.00553112457932,10.432870231176882
33.438950011052306,0.06052631349203005,92.888134560727,10.563468636781568
33.34863614324149,0.06030245498388914,92.91464483482834,10.669677631795754
32.77385458641987,0.0560480808325068,93.03142021171594,10.090736323358907
32.93041601092314,0.05746708734040231,92.9560204250349,11.0348662647301
33.30520439258457,0.058586039270884856,92.95137810782937,11.031724740785245
33.327700851554795,0.06068300111905749,92.88759714829435,10.739741844834693
33.00400553451824,0.05888724312366131,92.93219227512472,10.655693411670017
32.58596029039459,0.05579606829182452,93.00092613410202,10.585955952357486
32.7943421546611,0.056423916395190475,93.0066468614253,10.6162557157096
32.90126981726241,0.05664461324932331,93.04203963520143,9.733350569187794
33.25231967616327,0.058037048496931906,92.99692079608852,10.235780795073088
33.022111785622336,0.05772465044368243,93.00375368169189,10.112955700090028
32.7829232689299,0.056466888363884665,93.00312480664489,10.380975869046315
33.09981431470885,0.06034638363016059,92.86107157160093,10.742264631063955
33.1946082381319,0.05864523091485614,92.96211811682046,10.25019906677156
33.13702591032082,0.060075226305891835,92.87036758080285,10.793891766218838
33.522198238835124,0.06090382208643429,92.88530045142174,10.988584671561204
33.16569649209586,0.0571597559837115,93.02628480478265,10.18808989496314
33.17696901909781,0.05858857149675725,92.94851564738323,10.669229305839199
32.881026369395194,0.056301677219483336,93.0155002902533,10.76530539822637
33.325428016584866,0.06108746526873151,92.85602327344031,10.735596056702065
32.73886445345858,0.05561860177792965,93.03653547039333,10.350565578389947
33.32651056977626,0.059283034938406184,92.93309525796666,10.678176532693094
32.979457396532034,0.05857040101759705,92.91933037327435,10.87269185863243
32.895892814518106,0.057005946159553296,92.97804188826058,10.615476862399873
33.11823690540131,0.059127030860657875,92.94146818368039,10.624301407749286
33.1869928305192,0.05869632551435238,92.97085445325627,10.162363217886748
33.522987858818986,0.05998907595738254,92.95160304269453,10.327815912900183
33.15922077989765,0.058399442539971196,92.96865142463813,10.414168687613316
32.758978610405386,0.05616413319245145,93.01723771656373,10.140523636816535
33.24668730684217,0.06119269288495874,92.86163247890784,10.729903885982937
32.80915075682976,0.057989034438285146,92.91409576521997,11.205359192227242
33.19613155451307,0.06118614866557361,92.83272255189799,11.078371222438724
33.105309981754246,0.057974197207030405,92.97934806491841,10.231401173122647
33.23634964023462,0.058459329161996414,92.97506107036638,10.482175950868278
32.9832643163392,0.05892294125307342,92.91371411511182,10.746351855934636
32.64729360184937,0.05640474967241712,92.9937840123727,10.191967401308746
32.66534678538221,0.055860468475274705,93.02316604708754,10.15846801311447
32.79511907048429,0.056992594389109724,92.96862922278476,10.892292149651539
32.96528658726878,0.05805900269946283,92.93700434576958,10.920777741036177
33.29168353885232,0.05757323103402777,93.00099996681968,10.742104363868975
32.79746814631615,0.058250011976400236,92.93379732106871,10.361808769435854
33.25037311160685,0.058204238094405183,92.98044305723155,10.048805817756138
32.983182719055186,0.058529605001641796,92.93904765617015,10.529861473660944
32.87565335612198,0.05509272478433994,93.08536376550552,9.779224921587307
33.041387093185485,0.058892167649261556,92.92225637283987,10.760747903841212
33.098676902591784,0.058551266467225936,92.95674671527058,10.34651838125859
33.15291781994408,0.059603775883343056,92.9167105582918,10.493177919095388
33.207205608981354,0.06157822882782481,92.81640310766561,11.196857770556717
33.44249364781899,0.05887439441561146,92.95695038169558,10.954065481506024
