lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
0.02,0.02,0.5161160714285714,2704.361926825768,56.25346761051205,8.350871477454499,4.666666666666666,-7.000000000000001,3.333333333333332,33.0284881353795,0.23478192682338067,33.02887325784749,33.5,0.05837207960460459,0.001308326426167283,0.05839936139074209,0.06,92.94870806951553,0.05023344907636014,92.94923520375566,92.94117647058823,10.56298372876725,0.30454198255374854,10.562243578400848,10.378431372549025
0.02,0.04,0.5580357142857142,26875.277842839983,60.68646963206956,7.951938414740722,4.666666666666666,-5.0,4.666666666666666,33.39074794130059,0.27509886980567727,33.38010885880503,33.5,0.0580406479430587,0.002197121547633021,0.058002909036780625,0.06,91.21552322232279,0.10275107126702383,91.2201629298396,91.15384615384615,40.76008153583098,0.9189539826216929,40.745031342218766,40.71538461538473
0.02,0.06,0.49999999999999994,56307.233552732876,142.97847150648158,7.381291961409819,5.0,-2.999999999999999,5.0,33.58528598944537,0.26558146444557873,33.56567271094565,33.5,0.055127233740107744,0.004661666481338769,0.055157648115410275,0.06,89.77273623538724,0.2812343674017023,89.77905626915863,89.43396226415094,85.80130899309087,3.210734259797089,85.64434315290778,89.88113207547178
0.02,0.08,0.5037946428571428,69916.6784176551,18.226655765260556,4.699788418603205,5.333333333333333,-1.3333333333333333,5.333333333333333,33.191621106207116,0.20849073017213715,33.19832244590337,33.5,0.058569085416995854,0.014431767433432873,0.05955381936742472,0.06,87.80091872412085,1.0338139156032864,87.71972333080724,87.77777777777777,147.14533833552588,14.56142465009803,148.28066301985766,147.02777777777814
0.02,0.1,0.45040178571428574,61064.5308952806,170.85038576512733,0.6435313113828159,6.000000000000001,0.0,6.000000000000001,33.469173869558624,0.19107747359323649,33.474620411087045,33.5,0.03396551233859936,0.01029434186337622,0.03157669744524867,0.06,87.35018602916836,0.7787605363306401,87.20435921682427,86.18181818181817,199.629873802241,25.01735024759645,197.25480807327233,202.09636363636406
0.04,0.02,0.4011160714285714,287.9119880123282,47.82185685278,9.31962676184721,3.6666666666666656,-7.000000000000001,3.333333333333332,33.75115328459671,0.2847832937407076,33.7501021799056,33.5,0.06203124819605395,0.0016918018281143038,0.061884841189416825,0.06,92.88082363590017,0.0625529719527176,92.88087701262512,92.94117647058823,10.478113972997912,0.41715289986878146,10.461308995384757,10.378431372549025
0.04,0.04,0.5449107142857144,35287.28927727586,528.8808063792982,6.190528018158518,3.6666666666666656,-5.0,3.6666666666666656,33.74506423563786,0.29773229273887425,33.755645449083445,33.5,0.06315865138024261,0.0033467348720825534,0.06319842295139537,0.06,91.04446887066263,0.1743022236888464,91.0432967230071,91.15384615384615,41.09939597518133,1.7304438472396557,41.05861243196518,40.71538461538473
0.04,0.06,0.5415178571428572,58459.34395660853,96.83771983524296,0.8757069171467783,3.999999999999999,-2.999999999999999,3.999999999999999,32.98305757884455,0.24005550135032805,32.97567365471666,33.5,0.05465838996970834,0.009534010357279462,0.053795510837275795,0.06,89.57137449527352,0.6411970189657676,89.62419736290724,89.43396226415094,90.98941864089063,8.170341248538486,90.20437985119487,89.88113207547178
0.04,0.08,0.3958482142857143,53407.79998470269,398.6852042588897,2.212969612157094,4.333333333333333,-1.3333333333333333,4.333333333333333,33.51025251669073,0.24403909940501547,33.51027616190896,33.5,0.04411728246962477,0.015896221453602335,0.04233328647474477,0.06,88.02998564366295,1.1939618496059143,87.76906710390249,87.77777777777777,161.64414178379994,31.41389183415614,162.13682053694046,147.02777777777814
0.04,0.1,0.3994196428571429,40999.009204459566,279.89750730530625,-5.5909465522846045,5.0,0.0,5.0,33.15035923603105,0.2518077696697975,33.1485323401168,33.5,0.03923796853979027,0.012621316421120521,0.036651695155738684,0.06,87.42260156089249,0.8710208878786715,87.28427494356204,86.18181818181817,187.81757162743324,27.21409095454729,186.53367005671248,202.09636363636406
0.06,0.02,0.41875000000000007,8203.744784796989,42.16991075585666,5.2914451291545275,2.3333333333333326,-7.000000000000001,2.3333333333333326,33.174283013567816,0.27323123296686536,33.19043093510263,33.5,0.05647152304641826,0.0019722884351346002,0.05640478451760367,0.06,93.10736644545348,0.08247615145908997,93.1100114865837,92.94117647058823,9.255187899330641,0.6011883353856958,9.230511538664457,10.378431372549025
0.06,0.04,0.44459821428571433,49139.41196837012,49.70226562572357,7.6296144352694855,2.666666666666666,-5.0,2.666666666666666,33.690330971340046,0.3106145127670055,33.662419136941764,33.5,0.06127933400504916,0.004734069917147736,0.06136123524964062,0.06,91.11735215157289,0.2744440033685678,91.12023113592323,91.15384615384615,40.68698470102809,3.074458103194697,40.4396476295376,40.71538461538473
0.06,0.06,0.4290178571428571,57523.56663498529,25.600082190249193,4.071035278284678,2.999999999999999,-3.333333333333332,2.999999999999999,33.85252494546977,0.24881463143866275,33.85538111628973,33.5,0.049776998045662366,0.011442961642797471,0.04873993922391013,0.06,90.22802887627495,0.8130127324862443,90.28402899013477,89.43396226415094,79.34051970851439,11.193183255168874,78.72407357888461,89.88113207547178
0.06,0.08,0.3972767857142857,50741.20261664827,549.1474128058112,-1.22784372306499,3.333333333333332,-1.9999999999999996,3.333333333333332,33.96576204450052,0.1866602995203091,33.9639317288013,33.5,0.04258398125970604,0.016645833908624803,0.03924406612130252,0.06,88.03201154597463,1.3212835327115489,87.74947915305391,87.77777777777777,166.4761381363595,38.27433434086084,167.37401786390578,147.02777777777814
