ligament_type,lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
LCL,0.02,0.02,0.5460267857142858,127935.09262509605,66.11528230935063,9.815897157609212,4.666666666666666,-7.000000000000001,-1.9999999999999996,43.09547951985095,0.4560092808767738,43.088152466802654,42.8,0.06096891829379523,0.002036902992089275,0.061001409776393886,0.06,61.84457370215944,0.04132032508496575,61.843001910762176,61.86274509803921,8.900507360141589,0.2247204371795936,8.894942683848463,8.825751633986991
MCL,0.02,0.02,0.48312499999999997,1178.9325097685203,102.24168294755971,5.1873666082311045,4.666666666666666,-7.000000000000001,3.333333333333332,33.2090798861344,0.24868818938057652,33.20640925738161,33.5,0.057890778943100185,0.0015302397733424683,0.05786461633579213,0.06,92.98110497764719,0.05694085510399969,92.979472705098,92.94117647058823,10.262240127357169,0.32138681650681206,10.26555709780956,10.378431372549025
LCL,0.02,0.04,0.5388392857142857,66282.16759182105,44.730307441876235,0.1363574496491858,4.666666666666666,-5.0,-1.9999999999999996,43.56098060552525,0.46399324886108595,43.527954294861395,42.8,0.06519013254915897,0.0019081919329898237,0.06510915147694703,0.06,61.74154684853136,0.041117082712124005,61.74128141386571,61.86274509803921,9.669116646041934,0.2965169256099918,9.679821924654016,8.825751633986991
MCL,0.02,0.04,0.5241964285714286,18502.237842216982,39.622884112064014,8.37667165404007,4.666666666666666,-5.0,4.666666666666666,33.62153302935793,0.28500984337458257,33.607073870019406,33.5,0.059647981330650454,0.0022979452065959674,0.05964652567595384,0.06,91.19229981229009,0.10329272115770605,91.19886553348508,91.15384615384615,40.570623883167855,0.8721353395777025,40.50156994735408,40.71538461538473
LCL,0.02,0.06,0.5300892857142857,3263.623846965656,23.33148464601089,8.811471940726562,5.0,-2.999999999999999,-1.9999999999999996,43.227122602533335,0.37453715728720205,43.237638052500195,42.8,0.06269772094476857,0.00198263879553135,0.06280309356494165,0.06,61.80417282178793,0.05179428280033836,61.804101935101734,61.86274509803921,9.026014138464417,0.4343230781733852,9.006005998005907,8.825751633986991
MCL,0.02,0.06,0.5270089285714286,55596.96800099439,85.22129799638532,6.660452155170103,5.0,-2.999999999999999,5.0,33.20719033784183,0.3175205476115803,33.190704010289856,33.5,0.06418573371427794,0.007368390500749244,0.06412983024736814,0.06,89.08824892934066,0.4495184363033944,89.0820663980253,89.43396226415094,94.4274889668542,5.351886967665471,94.38513398852106,89.88113207547178
LCL,0.02,0.08,0.3678125,6012.153380066944,137.0463559041551,8.041521502442386,5.333333333333333,-1.3333333333333333,-1.3333333333333333,43.127182112938215,0.3455320103341304,43.14956603896512,42.8,0.06196027752294146,0.002919854582737327,0.061920570418032575,0.06,61.831802390950514,0.09025471146409607,61.83561676643452,61.86274509803921,8.617859711623591,0.9304381908896386,8.683509985316023,8.825751633986991
MCL,0.02,0.08,0.4979017857142858,61178.4757650683,52.96609153622754,3.209173332542926,5.333333333333333,-1.3333333333333333,5.333333333333333,33.52557126329089,0.2815729923333499,33.50228085001809,33.5,0.054065476196874185,0.014231033134779796,0.05309114242144858,0.06,88.25006179198483,1.0157353571583125,88.3049963160262,87.77777777777777,140.45248270797222,14.333176874753851,139.31490495789365,147.02777777777814
LCL,0.02,0.1,0.4303125,36302.130696694876,123.63915458377313,4.557554145979341,6.000000000000001,0.0,0.0,42.383253699902944,0.24207735261245467,42.379791735607796,42.8,0.0627462092895368,0.00551180927969718,0.06258053877571074,0.06,61.68921863361871,0.21848034233799057,61.703748898615444,61.86274509803921,11.506638369748892,2.910419112217638,11.282814397502563,8.825751633986991
MCL,0.02,0.1,0.44888392857142856,61851.55691953082,30.7254161402994,1.5238318424587214,6.000000000000001,0.0,6.000000000000001,33.18405157041818,0.19689503714693396,33.17961233229542,33.5,0.03693482787776059,0.010889732091752305,0.036234679115719384,0.06,87.2738143028366,0.7578521639199006,87.1304466362534,86.18181818181817,196.67666442591027,22.436600862608625,195.0188044017002,202.09636363636406
LCL,0.04,0.02,0.5556696428571428,98719.11482131881,35.67882744708626,6.0728478874162795,3.6666666666666656,-7.000000000000001,-3.999999999999999,43.42752527805279,0.37930749076562253,43.41201207963888,42.8,0.06390864106608765,0.001810456491530595,0.06384335497351887,0.06,60.60229845770148,0.03815597457511439,60.60428217072472,60.67307692307692,34.2172274841791,0.267333682237834,34.213804975953174,34.6241025641027
MCL,0.04,0.02,0.4748214285714286,461.8265300263819,41.53771018132888,9.194099867809127,3.6666666666666656,-7.000000000000001,3.333333333333332,33.591093704887506,0.2708799383236329,33.57749840299939,33.5,0.06073355016080551,0.0015407373691327013,0.060751420237734194,0.06,92.93357511269868,0.06291437673750412,92.93249314791596,92.94117647058823,10.24026056201539,0.42471985558443814,10.247068554837197,10.378431372549025
