ligament_type,lcl_strain,mcl_strain,acceptance_rate,initial_loss,final_loss,gt_log_likelihood_kde,gt_log_likelihood_posterior,max_theta_deg,min_theta_deg,lowest_force_theta_deg,k_mean,k_std,k_median,k_gt,alpha_mean,alpha_std,alpha_median,alpha_gt,l_0_mean,l_0_std,l_0_median,l_0_gt,f_ref_mean,f_ref_std,f_ref_median,f_ref_gt
LCL,0.02,0.02,0.4862946428571428,1010.2953065809706,52.01275607820378,6.282251418591058,-34.29621579854304,2.999999999999999,-4.333333333333333,-2.666666666666666,44.07257331059504,1.5473130719118224,43.8501690324573,42.8,0.06057807533353531,0.003371486772322115,0.06040836445265048,0.06,61.89446069625797,0.0477713661945659,61.8944011126659,61.86274509803921,8.677279818825467,0.3011539441615756,8.692636184702714,8.825751633986991
MCL,0.02,0.02,0.44691964285714286,10727.881916216942,113.30945943373027,6.277244014305778,-36.85374860645801,2.999999999999999,-4.333333333333333,2.999999999999999,32.44029087024844,0.9740300043214327,32.334728039011836,33.5,0.060558559332146926,0.0033966682036238763,0.06027603709776716,0.06,92.8001340798886,0.10839002771352042,92.80551666039904,92.94117647058823,11.234997968650793,0.7497750144280915,11.151585670012023,10.378431372549025
LCL,0.02,0.04,0.4260714285714286,1726.3132839295554,64.436038250952,6.657594263440141,-26.649389212159242,3.333333333333332,-2.666666666666666,-2.666666666666666,43.33051087056593,0.8758029062764978,43.35016923228849,42.8,0.059439062465955164,0.002867609295668047,0.059372239711440025,0.06,61.897524211196746,0.06384283482328121,61.898999975365214,61.86274509803921,9.02587579658167,0.53069219087945,9.018639442409544,8.825751633986991
MCL,0.02,0.04,0.39316964285714284,19585.45409993788,71.47496127998012,4.398465644767536,-37.00239835572452,3.333333333333332,-2.666666666666666,3.333333333333332,40.071205946675356,5.39448749912866,37.78946956356974,33.5,0.0752713096013233,0.01213068024094449,0.07361075581218836,0.06,91.02156877911816,0.22859608898902653,91.02346763184126,91.15384615384615,41.95547903672884,2.5581216811788643,41.8957923436318,40.71538461538473
LCL,0.02,0.06,0.39937500000000004,8514.20383331351,65.42877092028661,3.295240301326455,-22.7628751161419,3.333333333333332,-0.9999999999999998,-0.9999999999999998,41.32728019825421,0.6982779181080532,41.315035495201876,42.8,0.04850396400813984,0.003969892936430987,0.0485435352489957,0.06,62.185755519000516,0.12392296103139307,62.18395701784262,61.86274509803921,6.330568047125825,1.1590978282041784,6.206368400095666,8.825751633986991
MCL,0.02,0.06,0.2518303571428572,18240.953607115287,111.11141497925065,0.4814016676855338,-21.16545585227896,3.333333333333332,-0.9999999999999998,3.333333333333332,39.232939792794106,5.3927486273229865,38.325887303582846,33.5,0.0864003465260413,0.022373416706053865,0.09158726296727446,0.06,88.3837511939006,0.9833781479745628,88.47108569502764,89.43396226415094,106.86556437816516,15.804162301614282,104.53746127101519,89.88113207547178
LCL,0.02,0.08,0.37674107142857144,20734.32452254238,106.92927679362222,5.715252231219017,-20.084861869554963,3.999999999999999,0.0,0.0,42.80956865108974,0.7427849704162335,42.74221258532684,42.8,0.0687392387156954,0.00832965646100832,0.06777021687900725,0.06,61.483010091089156,0.306653022677492,61.508554357261104,61.86274509803921,14.09116153070476,4.216675847795344,13.591541313566943,8.825751633986991
MCL,0.02,0.08,0.2516964285714286,18892.317815642946,114.65331113321348,-1.2023210660445132,-21.41776448770037,3.999999999999999,0.0,3.999999999999999,38.900963576480024,5.581520093511523,35.402528099716214,33.5,0.07592525696962407,0.02883402759444496,0.07907703180620543,0.06,87.39566770248476,0.9144096240061976,87.15113252842463,87.77777777777777,156.0593270980546,17.510874289821984,156.32007070764587,147.02777777777814
LCL,0.02,0.1,0.41767857142857145,24875.0470533179,27.21093537881204,3.3693891556219877,-24.148312215073283,4.333333333333333,0.0,0.0,42.23033860438973,0.4035391623610743,42.19977419045626,42.8,0.05360465467347795,0.005422532613547602,0.05383568139363867,0.06,62.03389140487223,0.20928601644674716,62.025262242529614,61.86274509803921,8.2562584187111,2.6193784311754755,8.27795856664542,8.825751633986991
MCL,0.02,0.1,0.3744642857142857,24786.28657067164,66.50794031137691,1.0315139072479451,-inf,4.333333333333333,0.0,4.333333333333333,33.58738468360953,0.34825540082426454,33.604423384263,33.5,0.037560468717502474,0.013609043178688662,0.03424358822529909,0.06,87.85169586800207,1.24269159863038,87.58983616974908,86.18181818181817,178.1410514733681,36.60321804010343,179.89116134631107,202.09636363636406
LCL,0.04,0.02,0.4719196428571429,3331.1309215132906,38.56832126701575,5.878650177772904,-25.704908267510245,1.9999999999999996,-4.333333333333333,-4.333333333333333,43.747610237591495,1.2794572432325784,43.68402276637943,42.8,0.061126584142475474,0.0036608690356277913,0.06114625075992825,0.06,60.70797724948489,0.0668034865953894,60.70933866371031,60.67307692307692,33.889065610951015,0.6242359739243621,33.85845573969944,34.6241025641027
MCL,0.04,0.02,0.3676785714285714,13460.555761683814,74.76163771738725,4.2806984043466265,-26.608009902491425,1.9999999999999996,-4.333333333333333,1.9999999999999996,40.54860805929304,4.659126495425504,39.77312408615953,33.5,0.07418492943453968,0.009270423754091647,0.0733835982477083,0.06,92.90600385275727,0.10818687201299697,92.90316572021591,92.94117647058823,10.397305893356949,0.9934548850330841,10.38950603767113,10.378431372549025
LCL,0.04,0.04,0.5266964285714286,17382.080207814557,149.80593840172168,5.0379241136859205,-27.93551467188643,2.3333333333333326,-2.666666666666666,-2.666666666666666,43.66087201083062,0.720273814263152,43.71040627487756,42.8,0.062129140213261505,0.004926616343921945,0.0620140613053371,0.06,60.626652307159326,0.16708468989301364,60.63896572388596,60.67307692307692,35.75733745369021,2.2010657227186488,35.598103094730426,34.6241025641027
MCL,0.04,0.04,0.3615178571428571,22685.275109967624,52.7001864832737,3.8134208733305677,-21.994010778922977,2.3333333333333326,-2.666666666666666,2.3333333333333326,36.2484773208997,4.1743385547044305,34.42779124207283,33.5,0.0763407071781579,0.01507631966537876,0.07184223125619285,0.06,90.49901753421285,0.49041142636573226,90.54412568285507,91.15384615384615,48.312755749265676,5.969201495852756,47.65656374135599,40.71538461538473
LCL,0.04,0.06,0.3904464285714285,17771.257655202793,40.065856495423944,-3.0859864531946903,-30.655072455558017,2.3333333333333326,-1.3333333333333333,-1.3333333333333333,41.466997263655365,0.6986067408875468,41.407289569786734,42.8,0.05791726337052427,0.010002684247964385,0.05699931318614715,0.06,60.715121216384354,0.42862359745968553,60.762834657240404,60.67307692307692,33.605409864071746,6.539061203899055,32.82054286929438,34.6241025641027
MCL,0.04,0.06,0.31214285714285717,15840.522010726263,16.42504450554592,0.014258334647203868,-19.30440761744547,2.3333333333333326,-1.3333333333333333,2.3333333333333326,35.67085343790997,2.589060811945008,35.02974873286615,33.5,0.08682559156974985,0.023551048234512442,0.09217933149150218,0.06,87.88913356517602,1.2069955428179833,87.60086651429137,89.43396226415094,113.77984433669265,19.159623138346717,116.522558286016,89.88113207547178
LCL,0.04,0.08,0.3238392857142857,25081.408362330694,935.4061889379952,2.3474086791157536,-17.244861987230117,2.999999999999999,0.0,0.0,43.65880388699708,0.5565509613828643,43.637982870845185,42.8,0.062444843445990224,0.017878333589205365,0.06038315818849309,0.06,60.65563306891339,0.8523028957985608,60.72793498726579,60.67307692307692,34.52255888898697,15.170086985468988,32.785487058960676,34.6241025641027
