=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.02.14 16:05:10 =~=~=~=~=~=~=~=~=~=~=~=
time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z,gf,mg,gt,mt
2329,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2390,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2450,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2509,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2570,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2630,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2691,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2750,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2810,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2870,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2930,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
2991,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3050,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3110,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3171,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3230,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3291,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3351,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3410,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3471,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3531,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3591,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3651,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3712,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3771,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3831,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3892,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
3951,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4012,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4072,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4131,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4192,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4252,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4312,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4372,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4432,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4492,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4552,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4613,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4672,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4732,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4793,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4852,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4913,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
4973,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5032,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5093,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5153,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5213,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5273,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5334,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5393,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5453,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5514,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5573,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5634,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5694,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5753,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5814,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
5874,-0.00,0.10,-0.06,0.00,0.06,-0.03,3,0,3,0
