Format Version,1.24,Take Name,Take 2024-02-14 04.49.57 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-02-14 04.49.57.671 PM,Capture Start Frame,718672,Total Frames in Take,4534,Total Exported Frames,4534,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001,Rigid Body 001
,ID,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E,B2996CA1CAF011EEDE8D34655A50118E
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
0,0.000000,0.005685,0.920566,-0.375626,-0.106913,-168.332748,-484.172211,-1234.131104
1,0.008333,0.004723,0.920501,-0.375698,-0.107268,-168.250763,-484.388397,-1233.934204
2,0.016667,0.004821,0.920660,-0.375399,-0.106946,-167.942032,-484.082184,-1234.281738
3,0.025000,0.005046,0.920561,-0.375581,-0.107149,-168.297729,-484.217407,-1234.047974
4,0.033333,0.005846,0.920564,-0.375628,-0.106920,-168.370361,-484.143402,-1234.177368
5,0.041667,0.005290,0.920409,-0.375937,-0.107196,-168.386444,-484.540710,-1233.794922
6,0.050000,0.004044,0.920542,-0.375568,-0.107400,-168.083786,-484.411682,-1234.010376
7,0.058333,0.004525,0.920580,-0.375525,-0.107209,-168.095215,-484.298615,-1234.176392
8,0.066667,0.005356,0.920572,-0.375624,-0.106885,-168.092484,-484.322510,-1234.227905
9,0.075000,0.004545,0.920598,-0.375468,-0.107250,-168.196838,-484.280945,-1234.191040
10,0.083333,0.005536,0.920342,-0.376067,-0.107297,-168.785660,-484.781860,-1233.529053
11,0.091667,0.005916,0.920439,-0.375957,-0.106833,-168.336151,-484.630005,-1233.891602
12,0.100000,0.005334,0.920565,-0.375625,-0.106946,-168.212387,-484.369263,-1234.157471
13,0.108333,0.005406,0.920524,-0.375731,-0.106925,-168.193924,-484.462036,-1234.085938
14,0.116667,0.004467,0.920627,-0.375403,-0.107232,-168.133682,-484.229370,-1234.267944
15,0.125000,0.004374,0.920589,-0.375533,-0.107105,-167.925354,-484.455444,-1234.120972
16,0.133333,0.004830,0.920522,-0.375685,-0.107128,-168.151993,-484.492096,-1234.023438
17,0.141667,0.004588,0.920627,-0.375437,-0.107111,-168.016403,-484.276459,-1234.291260
18,0.150000,0.004801,0.920666,-0.375391,-0.106921,-167.887939,-484.219238,-1234.422729
19,0.158333,0.005681,0.920742,-0.375304,-0.106529,-167.810410,-483.981628,-1234.756836
20,0.166667,0.005131,0.920336,-0.376101,-0.107254,-168.501450,-484.965607,-1233.498413
21,0.175000,0.005785,0.920261,-0.376310,-0.107133,-168.708099,-485.098663,-1233.322632
22,0.183333,0.005692,0.920329,-0.376149,-0.107118,-168.639236,-484.917450,-1233.543579
23,0.191667,0.005952,0.920265,-0.376325,-0.107035,-168.670624,-485.098907,-1233.358276
24,0.200000,0.005567,0.920337,-0.376147,-0.107061,-168.511505,-484.981628,-1233.542236
25,0.208333,0.005981,0.920272,-0.376314,-0.107009,-168.656723,-485.099396,-1233.378662
26,0.216667,0.005184,0.920270,-0.376239,-0.107330,-168.696564,-485.153564,-1233.267212
27,0.225000,0.005880,0.920319,-0.376204,-0.106999,-168.596420,-484.990875,-1233.506226
28,0.233333,0.005713,0.920228,-0.376382,-0.107162,-168.721191,-485.208984,-1233.232300
29,0.241667,0.005734,0.920350,-0.376140,-0.106966,-168.463989,-484.954346,-1233.602539
30,0.250000,0.005998,0.920223,-0.376412,-0.107090,-168.750839,-485.182404,-1233.260986
31,0.258333,0.005831,0.920217,-0.376411,-0.107149,-168.739700,-485.207581,-1233.225586
32,0.266667,0.005811,0.920213,-0.376424,-0.107143,-168.696045,-485.213043,-1233.238647
33,0.275000,0.005865,0.920458,-0.375947,-0.106710,-168.130783,-484.693512,-1233.965576
34,0.283333,0.005890,0.920254,-0.376334,-0.107098,-168.692825,-485.105530,-1233.346802
35,0.291667,0.005736,0.920339,-0.376167,-0.106965,-168.442154,-484.980713,-1233.588379
36,0.300000,0.005461,0.920581,-0.375675,-0.106623,-167.819672,-484.492279,-1234.300415
37,0.308333,0.005756,0.920220,-0.376394,-0.107191,-168.751068,-485.210419,-1233.245239
38,0.316667,0.005412,0.920373,-0.376076,-0.107010,-168.334747,-484.939423,-1233.670044
39,0.325000,0.005723,0.920370,-0.376101,-0.106927,-168.396606,-484.916199,-1233.663818
40,0.333333,0.005461,0.920408,-0.376003,-0.106965,-168.305313,-484.859589,-1233.761108
41,0.341667,0.005637,0.920255,-0.376264,-0.107350,-168.941498,-485.077423,-1233.263672
42,0.350000,0.005389,0.920364,-0.376071,-0.107103,-168.443985,-484.932739,-1233.625244
43,0.358333,0.005586,0.920217,-0.376395,-0.107224,-168.704254,-485.227417,-1233.196045
44,0.366667,0.005838,0.920196,-0.376456,-0.107176,-168.750778,-485.238129,-1233.180542
45,0.375000,0.005799,0.920368,-0.376130,-0.106846,-168.285110,-484.913452,-1233.676514
46,0.383333,0.005182,0.920300,-0.376185,-0.107266,-168.554581,-485.067261,-1233.391479
47,0.391667,0.005590,0.920496,-0.375844,-0.106760,-168.046219,-484.632446,-1234.045654
48,0.400000,0.005387,0.920462,-0.375865,-0.106987,-168.294968,-484.690430,-1233.901367
49,0.408333,0.005474,0.920375,-0.376072,-0.107004,-168.371155,-484.920807,-1233.635498
50,0.416667,0.005909,0.920315,-0.376204,-0.107031,-168.635971,-484.987427,-1233.491699
51,0.425000,0.005400,0.920615,-0.375546,-0.106788,-168.059052,-484.341492,-1234.317993
52,0.433333,0.005374,0.920235,-0.376344,-0.107253,-168.629227,-485.217651,-1233.259033
53,0.441667,0.004933,0.920445,-0.375885,-0.107088,-168.173599,-484.801697,-1233.823853
54,0.450000,0.005624,0.920471,-0.375904,-0.106756,-168.086700,-484.701355,-1233.957764
55,0.458333,0.005527,0.920236,-0.376355,-0.107204,-168.663589,-485.213287,-1233.228027
56,0.466667,0.005487,0.920261,-0.376303,-0.107170,-168.574203,-485.153839,-1233.327759
57,0.475000,0.005697,0.920193,-0.376446,-0.107244,-168.802628,-485.276398,-1233.117920
58,0.483333,0.005766,0.920260,-0.376323,-0.107095,-168.614166,-485.128632,-1233.369141
59,0.491667,0.005896,0.920357,-0.376116,-0.106981,-168.546371,-484.866119,-1233.655762
60,0.500000,0.005545,0.920329,-0.376169,-0.107051,-168.460663,-485.010681,-1233.536255
61,0.508333,0.004767,0.920372,-0.375987,-0.107361,-168.515274,-484.949860,-1233.513062
62,0.516667,0.005875,0.920315,-0.376171,-0.107148,-168.779129,-484.921570,-1233.484253
63,0.525000,0.005756,0.920267,-0.376290,-0.107157,-168.738113,-485.098022,-1233.322021
64,0.533333,0.005631,0.920523,-0.375792,-0.106700,-168.028397,-484.584717,-1234.110596
65,0.541667,0.005670,0.920361,-0.376083,-0.107075,-168.564758,-484.862579,-1233.608398
66,0.550000,0.005746,0.920293,-0.376208,-0.107218,-168.788132,-484.970093,-1233.418335
67,0.558333,0.005678,0.920477,-0.375835,-0.106945,-168.376221,-484.578705,-1233.981079
68,0.566667,0.005862,0.920280,-0.376260,-0.107139,-168.742920,-485.005249,-1233.394897
69,0.575000,0.005537,0.920243,-0.376343,-0.107187,-168.623474,-485.185272,-1233.292725
70,0.583333,0.005779,0.920200,-0.376450,-0.107161,-168.711182,-485.249146,-1233.194946
71,0.591667,0.005861,0.920330,-0.376188,-0.106964,-168.493866,-484.973358,-1233.579224
72,0.600000,0.005763,0.920402,-0.376040,-0.106869,-168.361008,-484.850006,-1233.739868
73,0.608333,0.005719,0.920329,-0.376179,-0.107012,-168.535233,-485.018951,-1233.528320
74,0.616667,0.005953,0.920320,-0.376196,-0.107017,-168.713425,-484.998230,-1233.438599
75,0.625000,0.005881,0.920299,-0.376244,-0.107033,-168.652512,-485.054260,-1233.454102
76,0.633333,0.004935,0.920367,-0.376029,-0.107254,-168.454163,-484.983734,-1233.554810
77,0.641667,0.005621,0.920301,-0.376231,-0.107078,-168.540543,-485.065125,-1233.475952
78,0.650000,0.005686,0.920354,-0.376132,-0.106964,-168.465973,-484.968018,-1233.568848
79,0.658333,0.005413,0.920372,-0.376058,-0.107085,-168.459412,-484.926483,-1233.624878
80,0.666667,0.005633,0.920184,-0.376458,-0.107283,-168.827744,-485.286346,-1233.075562
81,0.675000,0.005617,0.920293,-0.376212,-0.107210,-168.723907,-485.005127,-1233.410767
82,0.683333,0.005803,0.920339,-0.376154,-0.107004,-168.545731,-484.955719,-1233.571655
83,0.691667,0.005661,0.920341,-0.376154,-0.106998,-168.442734,-484.969604,-1233.588013
84,0.700000,0.005405,0.920571,-0.375688,-0.106673,-167.861938,-484.515564,-1234.262085
85,0.708333,0.004826,0.920352,-0.376050,-0.107311,-168.441284,-485.013428,-1233.531738
86,0.716667,0.005639,0.920398,-0.376034,-0.106931,-168.362595,-484.864258,-1233.745117
87,0.725000,0.005049,0.920501,-0.375737,-0.107117,-168.357315,-484.627258,-1233.908325
88,0.733333,0.005788,0.920286,-0.376262,-0.107080,-168.654587,-485.072418,-1233.385986
89,0.741667,0.005943,0.920257,-0.376333,-0.107075,-168.703613,-485.109253,-1233.342285
90,0.750000,0.005575,0.920245,-0.376360,-0.107109,-168.566757,-485.204498,-1233.265625
91,0.758333,0.005042,0.920467,-0.375861,-0.106980,-168.093811,-484.745544,-1233.869751
92,0.766667,0.005680,0.920367,-0.376093,-0.106985,-168.445236,-484.889954,-1233.637451
93,0.775000,0.005632,0.920200,-0.376424,-0.107264,-168.787567,-485.242004,-1233.124146
94,0.783333,0.005009,0.920268,-0.376211,-0.107459,-168.739304,-485.114380,-1233.248657
95,0.791667,0.005626,0.920272,-0.376291,-0.107109,-168.596298,-485.123779,-1233.338135
96,0.800000,0.004723,0.920177,-0.376383,-0.107645,-168.812836,-485.348755,-1232.999390
97,0.808333,0.004872,0.920192,-0.376381,-0.107517,-168.693863,-485.323395,-1233.104004
98,0.816667,0.005315,0.920354,-0.376102,-0.107084,-168.371796,-484.979584,-1233.608398
99,0.825000,0.004926,0.920402,-0.375933,-0.107283,-168.486435,-484.864441,-1233.630005
100,0.833333,0.005400,0.920365,-0.376079,-0.107069,-168.407394,-484.943878,-1233.640869
101,0.841667,0.005696,0.920287,-0.376296,-0.106964,-168.408752,-485.111938,-1233.474243
102,0.850000,0.005621,0.920293,-0.376258,-0.107047,-168.487701,-485.091736,-1233.461670
103,0.858333,0.005939,0.920494,-0.375894,-0.106579,-167.988556,-484.632111,-1234.111572
104,0.866667,0.005304,0.920320,-0.376159,-0.107183,-168.513809,-485.029999,-1233.476685
105,0.875000,0.005686,0.920485,-0.375878,-0.106731,-168.111084,-484.670929,-1233.972290
106,0.883333,0.005138,0.920323,-0.376130,-0.107261,-168.575760,-485.041840,-1233.383423
107,0.891667,0.005559,0.920251,-0.376320,-0.107190,-168.668472,-485.164551,-1233.266235
108,0.900000,0.005821,0.920226,-0.376392,-0.107146,-168.729416,-485.191498,-1233.247314
109,0.908333,0.005642,0.920267,-0.376293,-0.107149,-168.645004,-485.120026,-1233.349976
110,0.916667,0.004611,0.920326,-0.376097,-0.107380,-168.414139,-485.086700,-1233.450562
111,0.925000,0.005755,0.920257,-0.376328,-0.107102,-168.659210,-485.153809,-1233.319702
112,0.933333,0.005650,0.920455,-0.375881,-0.106973,-168.459869,-484.693542,-1233.857544
113,0.941667,0.005704,0.920352,-0.376139,-0.106955,-168.443512,-484.967499,-1233.597900
114,0.950000,0.005938,0.920265,-0.376329,-0.107022,-168.605621,-485.104736,-1233.426147
115,0.958333,0.005718,0.920268,-0.376315,-0.107060,-168.555817,-485.132385,-1233.395142
116,0.966667,0.005457,0.920299,-0.376222,-0.107125,-168.497162,-485.077301,-1233.477417
117,0.975000,0.005632,0.920340,-0.376165,-0.106964,-168.392166,-484.991669,-1233.590454
118,0.983333,0.004986,0.920535,-0.375695,-0.106977,-168.074051,-484.571869,-1234.084961
119,0.991667,0.005699,0.920271,-0.376286,-0.107135,-168.668625,-485.108948,-1233.354370
120,1.000000,0.006065,0.920288,-0.376247,-0.107100,-168.855576,-485.001251,-1233.365723
121,1.008333,0.004879,0.920315,-0.376140,-0.107310,-168.490433,-485.103271,-1233.397217
122,1.016667,0.005848,0.920311,-0.376235,-0.106963,-168.498779,-485.030548,-1233.519531
123,1.025000,0.005578,0.920331,-0.376161,-0.107066,-168.520447,-485.012665,-1233.528198
124,1.033333,0.005797,0.920373,-0.376088,-0.106944,-168.490387,-484.906250,-1233.650269
125,1.041667,0.005809,0.920257,-0.376328,-0.107102,-168.692169,-485.141235,-1233.316162
126,1.050000,0.005740,0.920217,-0.376399,-0.107193,-168.760406,-485.219574,-1233.215332
127,1.058333,0.004952,0.920324,-0.376120,-0.107302,-168.507767,-485.066528,-1233.450928
128,1.066667,0.005660,0.920367,-0.376090,-0.106999,-168.468796,-484.919464,-1233.652832
129,1.075000,0.005289,0.920422,-0.375936,-0.107089,-168.414536,-484.788330,-1233.752441
130,1.083333,0.005900,0.920329,-0.376206,-0.106903,-168.462006,-484.999451,-1233.571045
131,1.091667,0.005710,0.920208,-0.376408,-0.107250,-168.804001,-485.219086,-1233.202271
132,1.100000,0.005633,0.920270,-0.376279,-0.107167,-168.700226,-485.112305,-1233.313843
133,1.108333,0.005721,0.920362,-0.376115,-0.106949,-168.441864,-484.932678,-1233.622925
134,1.116667,0.005769,0.920533,-0.375806,-0.106564,-167.901825,-484.577026,-1234.201294
135,1.125000,0.005901,0.920401,-0.376005,-0.106996,-168.587006,-484.758545,-1233.772095
136,1.133333,0.005727,0.920336,-0.376184,-0.106935,-168.433090,-485.011505,-1233.552979
137,1.141667,0.005746,0.920273,-0.376305,-0.107044,-168.574051,-485.137512,-1233.397339
138,1.150000,0.005912,0.920410,-0.376000,-0.106933,-168.557465,-484.779999,-1233.738403
139,1.158333,0.005568,0.920286,-0.376252,-0.107131,-168.578018,-485.100830,-1233.438232
140,1.166667,0.005865,0.920141,-0.376568,-0.107255,-168.931595,-485.399750,-1232.976807
141,1.175000,0.005195,0.920284,-0.376205,-0.107332,-168.691635,-485.116089,-1233.308960
142,1.183333,0.005768,0.920340,-0.376166,-0.106958,-168.474030,-484.979279,-1233.574829
143,1.191667,0.005560,0.920347,-0.376141,-0.106995,-168.409790,-484.986725,-1233.583740
144,1.200000,0.005834,0.920349,-0.376127,-0.107016,-168.576370,-484.894775,-1233.619019
145,1.208333,0.005789,0.920308,-0.376225,-0.107029,-168.557968,-485.028351,-1233.511841
146,1.216667,0.005629,0.920294,-0.376252,-0.107056,-168.539780,-485.101868,-1233.421509
147,1.225000,0.005631,0.920270,-0.376277,-0.107179,-168.676270,-485.128143,-1233.391113
148,1.233333,0.006245,0.920401,-0.376056,-0.106794,-168.543427,-484.812653,-1233.741455
149,1.241667,0.005882,0.920370,-0.376072,-0.107023,-168.650299,-484.856506,-1233.650635
150,1.250000,0.005063,0.920403,-0.375967,-0.107156,-168.399597,-484.906708,-1233.660034
151,1.258333,0.004764,0.920371,-0.376020,-0.107252,-168.360580,-485.006409,-1233.560913
152,1.266667,0.005818,0.920375,-0.376090,-0.106924,-168.482590,-484.901947,-1233.658447
153,1.275000,0.005871,0.920347,-0.376163,-0.106903,-168.464447,-484.970001,-1233.603882
154,1.283333,0.005626,0.920269,-0.376298,-0.107115,-168.593597,-485.148407,-1233.382812
155,1.291667,0.005667,0.920333,-0.376159,-0.107047,-168.567093,-485.005371,-1233.513184
156,1.300000,0.005073,0.920397,-0.375989,-0.107127,-168.342270,-484.913879,-1233.674072
157,1.308333,0.005111,0.920352,-0.376086,-0.107167,-168.418167,-485.008514,-1233.549561
158,1.316667,0.006080,0.920366,-0.376130,-0.106842,-168.512360,-484.912445,-1233.640259
159,1.325000,0.005380,0.920370,-0.376051,-0.107123,-168.536758,-484.950439,-1233.570801
160,1.333333,0.006084,0.920329,-0.376204,-0.106905,-168.605011,-485.006531,-1233.533691
161,1.341667,0.005874,0.920395,-0.376028,-0.106969,-168.583832,-484.829712,-1233.707520
162,1.350000,0.005866,0.920331,-0.376171,-0.107009,-168.635254,-485.004730,-1233.517212
163,1.358333,0.006042,0.920338,-0.376170,-0.106946,-168.636505,-484.974487,-1233.561523
164,1.366667,0.005903,0.920331,-0.376182,-0.106968,-168.582733,-485.001099,-1233.546631
165,1.375000,0.005306,0.920422,-0.375923,-0.107131,-168.508789,-484.833374,-1233.716553
