time,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
2339,-0.04,-0.12,0.15,-0.01,-0.13,-0.02
2399,-0.03,-0.11,0.16,0.00,-0.14,-0.00
2459,-0.03,-0.11,0.17,0.00,-0.15,-0.01
2520,-0.03,-0.11,0.19,0.00,-0.15,-0.02
2580,-0.04,-0.11,0.20,-0.00,-0.13,-0.02
2640,-0.04,-0.09,0.22,-0.00,-0.11,-0.01
2700,-0.03,-0.07,0.24,-0.01,-0.08,0.01
2760,-0.03,-0.06,0.25,-0.01,-0.06,0.02
2820,-0.03,-0.06,0.26,-0.01,-0.06,0.02
2880,-0.02,-0.06,0.26,-0.00,-0.06,0.02
2940,-0.02,-0.06,0.27,-0.00,-0.06,0.03
3001,-0.02,-0.05,0.28,-0.00,-0.03,0.04
3060,-0.01,-0.02,0.30,-0.01,0.01,0.06
3121,-0.01,0.00,0.32,-0.01,0.06,0.08
3181,-0.00,0.01,0.32,-0.00,0.05,0.09
3241,0.00,0.02,0.32,0.00,0.05,0.10
3302,0.00,0.02,0.33,0.00,0.05,0.10
3361,0.01,0.02,0.33,0.00,0.04,0.10
3422,0.01,0.02,0.33,0.00,0.04,0.10
3482,0.01,0.02,0.34,0.01,0.04,0.10
3543,0.01,0.04,0.34,0.01,0.04,0.12
3602,0.02,0.06,0.34,0.02,0.04,0.15
3661,0.03,0.08,0.34,0.03,0.04,0.16
3722,0.03,0.08,0.34,0.03,0.04,0.17
3782,0.03,0.07,0.34,0.03,0.03,0.16
3843,0.03,0.04,0.34,0.03,0.01,0.13
3903,0.02,0.02,0.34,0.03,-0.01,0.11
3962,0.02,0.01,0.33,0.03,-0.04,0.09
4022,0.02,0.01,0.33,0.04,-0.08,0.10
4083,0.02,0.01,0.33,0.04,-0.12,0.10
4144,0.03,0.01,0.34,0.04,-0.15,0.10
4204,0.02,0.00,0.34,0.04,-0.16,0.09
4263,0.02,-0.00,0.34,0.03,-0.18,0.09
4323,0.02,-0.00,0.34,0.03,-0.16,0.07
4383,0.01,-0.00,0.34,0.03,-0.12,0.08
4444,0.01,-0.01,0.34,0.03,-0.07,0.07
4504,0.01,-0.01,0.34,0.03,-0.02,0.07
4564,0.00,-0.01,0.34,0.03,0.01,0.06
4623,0.00,-0.01,0.33,0.03,0.03,0.06
4684,0.00,-0.01,0.33,0.03,0.04,0.06
4745,0.00,-0.01,0.33,0.03,0.04,0.06
4805,0.00,-0.01,0.33,0.03,0.04,0.06
4865,0.00,-0.01,0.33,0.03,0.03,0.06
4925,0.00,-0.01,0.34,0.03,0.03,0.06
4985,0.00,-0.01,0.34,0.02,0.02,0.07
5046,0.00,-0.01,0.34,0.02,0.01,0.07
5106,0.00,-0.01,0.34,0.03,0.01,0.07
5167,0.00,-0.01,0.34,0.03,0.02,0.07
5227,0.00,-0.01,0.34,0.02,0.01,0.06
5287,0.00,-0.02,0.34,0.02,-0.00,0.06
5348,-0.00,-0.03,0.34,0.02,-0.02,0.05
5407,-0.00,-0.03,0.34,0.02,-0.05,0.04
5467,0.00,-0.04,0.34,0.03,-0.08,0.04
5527,-0.00,-0.04,0.34,0.03,-0.14,0.04
5588,-0.00,-0.04,0.35,0.02,-0.16,0.04
5648,-0.00,-0.04,0.35,0.02,-0.18,0.04
5708,0.00,-0.03,0.35,0.03,-0.19,0.04
5769,0.00,-0.03,0.35,0.02,-0.20,0.04
5829,0.00,-0.04,0.35,0.03,-0.21,0.04
5892,0.00,-0.03,0.36,0.03,-0.22,0.04
5951,0.00,-0.03,0.35,0.03,-0.22,0.04
6010,0.00,-0.04,0.35,0.02,-0.24,0.04
6072,-0.00,-0.04,0.35,0.03,-0.25,0.03
6134,-0.00,-0.04,0.35,0.03,-0.27,0.04
6197,-0.00,-0.04,0.36,0.03,-0.28,0.04
6257,0.00,-0.03,0.36,0.03,-0.28,0.04
6318,0.00,-0.04,0.35,0.03,-0.27,0.04
6377,0.01,-0.04,0.35,0.03,-0.27,0.03
6438,0.01,-0.03,0.35,0.03,-0.27,0.03
6499,0.01,-0.03,0.35,0.03,-0.27,0.04
6560,0.01,-0.04,0.35,0.04,-0.27,0.03
6622,0.01,-0.03,0.35,0.04,-0.27,0.03
6683,0.01,-0.03,0.35,0.04,-0.27,0.03
6745,0.01,-0.03,0.35,0.04,-0.27,0.03
6806,0.01,-0.03,0.35,0.04,-0.27,0.03
6866,0.01,-0.03,0.35,0.04,-0.28,0.03
6927,0.01,-0.03,0.35,0.04,-0.28,0.03
6988,0.02,-0.03,0.35,0.05,-0.28,0.03
7049,0.02,-0.03,0.36,0.05,-0.28,0.03
7109,0.02,-0.03,0.36,0.05,-0.28,0.03
7170,0.02,-0.03,0.36,0.05,-0.28,0.03
7232,0.02,-0.03,0.36,0.05,-0.28,0.03
7294,0.02,-0.03,0.36,0.05,-0.28,0.03
7354,0.02,-0.03,0.36,0.05,-0.28,0.02
7414,0.01,-0.04,0.36,0.05,-0.29,0.02
7475,0.01,-0.04,0.36,0.05,-0.29,0.02
7536,0.01,-0.04,0.36,0.05,-0.29,0.01
7597,0.01,-0.04,0.36,0.05,-0.29,0.01
7656,0.01,-0.03,0.36,0.05,-0.29,0.02
7715,0.02,-0.03,0.36,0.05,-0.29,0.02
7777,0.02,-0.02,0.36,0.05,-0.29,0.03
7837,0.02,-0.00,0.36,0.05,-0.29,0.05
7898,0.02,0.01,0.36,0.05,-0.29,0.06
7957,0.03,0.01,0.35,0.05,-0.29,0.06
8017,0.03,0.02,0.35,0.05,-0.30,0.07
8078,0.03,0.03,0.35,0.05,-0.30,0.07
8137,0.03,0.03,0.35,0.05,-0.30,0.08
8198,0.03,0.03,0.35,0.05,-0.29,0.08
8258,0.04,0.03,0.35,0.05,-0.29,0.08
8317,0.04,0.03,0.35,0.06,-0.29,0.08
8378,0.04,0.03,0.35,0.06,-0.29,0.08
8438,0.04,0.03,0.35,0.06,-0.29,0.08
8499,0.04,0.03,0.35,0.06,-0.29,0.08
8558,0.03,0.03,0.35,0.06,-0.28,0.07
8617,0.03,0.02,0.34,0.06,-0.28,0.06
8678,0.03,0.01,0.34,0.06,-0.28,0.05
8738,0.02,-0.01,0.34,0.06,-0.28,0.03
8799,0.02,-0.02,0.33,0.06,-0.28,0.02
8858,0.01,-0.04,0.33,0.06,-0.28,0.00
8919,0.01,-0.06,0.33,0.06,-0.28,-0.02
8979,-0.00,-0.08,0.33,0.05,-0.28,-0.04
9038,-0.01,-0.11,0.33,0.05,-0.28,-0.07
9099,-0.02,-0.13,0.33,0.05,-0.28,-0.10
9159,-0.03,-0.17,0.34,0.05,-0.29,-0.13
9219,-0.05,-0.20,0.34,0.05,-0.30,-0.18
9279,-0.07,-0.26,0.34,0.05,-0.31,-0.23
9339,-0.08,-0.30,0.34,0.05,-0.32,-0.28
9400,-0.10,-0.34,0.34,0.05,-0.32,-0.32
